SIM_ID,ks,fl_mu_0,fl_mu_ratio,ftype_proportions_0,bpwr_mu_ratio,preburn_fraction,burn_fibers
DOE_0201211,1.4,0.5,2,0.3,3,0.006,True
DOE_0201220,1.4,0.5,2,0.3,3,0.01,False
DOE_0201221,1.4,0.5,2,0.3,3,0.01,True
DOE_0202000,1.4,0.5,2,0.5,1,0.002,False
DOE_0202001,1.4,0.5,2,0.5,1,0.002,True
DOE_0202010,1.4,0.5,2,0.5,1,0.006,False
DOE_0202011,1.4,0.5,2,0.5,1,0.006,True
DOE_0202020,1.4,0.5,2,0.5,1,0.01,False
DOE_0202021,1.4,0.5,2,0.5,1,0.01,True
DOE_0202100,1.4,0.5,2,0.5,2,0.002,False
DOE_0202101,1.4,0.5,2,0.5,2,0.002,True
DOE_0202110,1.4,0.5,2,0.5,2,0.006,False
DOE_0202111,1.4,0.5,2,0.5,2,0.006,True
DOE_0202120,1.4,0.5,2,0.5,2,0.01,False
DOE_0202121,1.4,0.5,2,0.5,2,0.01,True
DOE_0202200,1.4,0.5,2,0.5,3,0.002,False
DOE_0202201,1.4,0.5,2,0.5,3,0.002,True
DOE_0202210,1.4,0.5,2,0.5,3,0.006,False
DOE_0202211,1.4,0.5,2,0.5,3,0.006,True
DOE_0202220,1.4,0.5,2,0.5,3,0.01,False
DOE_0202221,1.4,0.5,2,0.5,3,0.01,True
DOE_0210000,1.4,0.5,6,0.1,1,0.002,False
DOE_0210001,1.4,0.5,6,0.1,1,0.002,True
DOE_0210010,1.4,0.5,6,0.1,1,0.006,False
DOE_0210011,1.4,0.5,6,0.1,1,0.006,True
DOE_0210020,1.4,0.5,6,0.1,1,0.01,False
DOE_0210021,1.4,0.5,6,0.1,1,0.01,True
DOE_0210100,1.4,0.5,6,0.1,2,0.002,False
DOE_0210101,1.4,0.5,6,0.1,2,0.002,True
DOE_0210110,1.4,0.5,6,0.1,2,0.006,False
DOE_0210111,1.4,0.5,6,0.1,2,0.006,True
DOE_0210120,1.4,0.5,6,0.1,2,0.01,False
DOE_0210121,1.4,0.5,6,0.1,2,0.01,True
DOE_0210200,1.4,0.5,6,0.1,3,0.002,False
DOE_0210201,1.4,0.5,6,0.1,3,0.002,True
DOE_0210210,1.4,0.5,6,0.1,3,0.006,False
DOE_0210211,1.4,0.5,6,0.1,3,0.006,True
DOE_0210220,1.4,0.5,6,0.1,3,0.01,False
DOE_0210221,1.4,0.5,6,0.1,3,0.01,True
DOE_0211000,1.4,0.5,6,0.3,1,0.002,False
DOE_0211001,1.4,0.5,6,0.3,1,0.002,True
DOE_0211010,1.4,0.5,6,0.3,1,0.006,False
DOE_0211011,1.4,0.5,6,0.3,1,0.006,True
DOE_0211020,1.4,0.5,6,0.3,1,0.01,False
DOE_0211021,1.4,0.5,6,0.3,1,0.01,True
DOE_0211100,1.4,0.5,6,0.3,2,0.002,False
DOE_0211101,1.4,0.5,6,0.3,2,0.002,True
